portfolio-1  | INFO:     172.22.0.13:39650 - "GET /performance/daily?limit=1 HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:28:15,677 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | INFO:     172.22.0.12:48152 - "GET /health HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:29:06,599 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | INFO:     172.22.0.14:54500 - "GET /health HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:29:06,609 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-04-30 22:29:06,609 - portfolio.src.models - INFO - ✅ PortfolioModel initialisé
portfolio-1  | INFO:     172.22.0.14:54516 - "GET /summary HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:29:06,620 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-04-30 22:29:06,621 - portfolio.src.pockets - INFO - ✅ PocketManager initialisé
portfolio-1  | 2025-04-30 22:29:06,622 - portfolio.src.pockets - INFO - Début update_pockets_allocation avec total_value=977.96057363
portfolio-1  | 2025-04-30 22:29:06,622 - portfolio.src.pockets - INFO - Poches récupérées: 3 poches
portfolio-1  | 2025-04-30 22:29:06,623 - portfolio.src.pockets - INFO - Poche active: allocation=0.6
portfolio-1  | 2025-04-30 22:29:06,623 - portfolio.src.pockets - INFO - Poche buffer: allocation=0.3
portfolio-1  | 2025-04-30 22:29:06,623 - portfolio.src.pockets - INFO - Poche safety: allocation=0.1
portfolio-1  | 2025-04-30 22:29:06,628 - portfolio.src.pockets - INFO - ✅ Allocation des poches mise à jour (total: 977.96)
portfolio-1  | INFO:     172.22.0.14:54532 - "PUT /pockets/allocation?total_value=977.96057363 HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:29:06,632 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-04-30 22:29:06,634 - portfolio.src.pockets - INFO - ✅ PocketManager initialisé
portfolio-1  | INFO:     172.22.0.14:54538 - "GET /pockets HTTP/1.1" 200 OK
portfolio-1  | 2025-04-30 22:29:08,376 - portfolio.src.models - INFO - ✅ Connexion obtenue depuis le pool DB
portfolio-1  | 2025-04-30 22:29:08,376 - portfolio.src.models - INFO - ✅ PortfolioModel initialisé
portfolio-1  | INFO:     172.22.0.13:56520 - "GET /summary HTTP/1.1" 200 OK



trader-1  | 2025-04-30 22:25:00,396 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: ETHUSDC @ 1794.28
trader-1  | 2025-04-30 22:25:08,020 - werkzeug - INFO - 172.22.0.13 - - [30/Apr/2025 22:25:08] "GET /orders HTTP/1.1" 200 -
trader-1  | 2025-04-30 22:26:00,461 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: BTCUSDC @ 94531.99
trader-1  | 2025-04-30 22:26:00,462 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: ETHUSDC @ 1795.03
trader-1  | 2025-04-30 22:26:00,493 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:26:00] "GET /health HTTP/1.1" 200 -
trader-1  | 2025-04-30 22:26:08,109 - werkzeug - INFO - 172.22.0.13 - - [30/Apr/2025 22:26:08] "GET /orders HTTP/1.1" 200 -
trader-1  | 2025-04-30 22:27:00,527 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: BTCUSDC @ 94525.99
trader-1  | 2025-04-30 22:27:00,528 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: ETHUSDC @ 1795.18
trader-1  | 2025-04-30 22:27:06,471 - werkzeug - INFO - 172.22.0.14 - - [30/Apr/2025 22:27:06] "GET /orders?status=active HTTP/1.1" 200 -
trader-1  | 2025-04-30 22:27:07,587 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:27:07] "GET /health HTTP/1.1" 200 -
trader-1  | 2025-04-30 22:27:08,203 - werkzeug - INFO - 172.22.0.13 - - [30/Apr/2025 22:27:08] "GET /orders HTTP/1.1" 200 -
trader-1  | 2025-04-30 22:28:00,590 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: BTCUSDC @ 94484.02
trader-1  | 2025-04-30 22:28:00,592 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: ETHUSDC @ 1793.9
trader-1  | 2025-04-30 22:28:08,296 - werkzeug - INFO - 172.22.0.13 - - [30/Apr/2025 22:28:08] "GET /orders HTTP/1.1" 200 -
trader-1  | 2025-04-30 22:28:14,672 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:28:14] "GET /health HTTP/1.1" 200 -
trader-1  | 2025-04-30 22:29:00,648 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: BTCUSDC @ 94462.01
trader-1  | 2025-04-30 22:29:00,649 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: ETHUSDC @ 1793.45
