coordinator-1  | 2025-05-01 17:47:00,581 - coordinator.src.signal_handler - INFO - Réallocation des fonds suite à notification...
coordinator-1  | 2025-05-01 17:47:00,605 - coordinator.src.pocket_checker - INFO - Cache des poches mis à jour: 3 poches
coordinator-1  | 2025-05-01 17:47:00,605 - coordinator.src.pocket_checker - INFO - ✅ Réallocation des poches effectuée (valeur totale: 1000.46 USDC)
coordinator-1  | 2025-05-01 17:47:06,122 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-05-01 17:47:06,129 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-05-01 17:47:23,644 - werkzeug - INFO - 172.21.0.12 - - [01/May/2025 17:47:23] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-05-01 17:48:05,199 - coordinator - INFO - Vérification de la synchronisation des poches...
coordinator-1  | 2025-05-01 17:48:05,214 - coordinator.src.pocket_checker - WARNING - ⚠️ Désynchronisation détectée: 5 cycles actifs vs 0 dans les poches. Montant utilisé: 384.34 vs 0.00 (diff: 100.00%)
coordinator-1  | 2025-05-01 17:48:05,220 - coordinator.src.pocket_checker - INFO - ✅ Réconciliation des poches demandée
coordinator-1  | 2025-05-01 17:48:05,236 - coordinator.src.pocket_checker - INFO - Cache des poches mis à jour: 3 poches
coordinator-1  | 2025-05-01 17:48:06,248 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-05-01 17:48:06,254 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-05-01 17:48:06,254 - coordinator - INFO - Réallocation périodique des fonds...
coordinator-1  | 2025-05-01 17:48:06,280 - coordinator.src.pocket_checker - INFO - Cache des poches mis à jour: 3 poches
coordinator-1  | 2025-05-01 17:48:06,280 - coordinator.src.pocket_checker - INFO - ✅ Réallocation des poches effectuée (valeur totale: 1000.12 USDC)
coordinator-1  | 2025-05-01 17:48:30,762 - werkzeug - INFO - 172.21.0.12 - - [01/May/2025 17:48:30] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-05-01 17:49:06,363 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-05-01 17:49:06,368 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-05-01 17:49:37,895 - werkzeug - INFO - 172.21.0.12 - - [01/May/2025 17:49:37] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-05-01 17:50:06,447 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-05-01 17:50:06,465 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-05-01 17:50:06,465 - coordinator - INFO - Réallocation périodique des fonds...
coordinator-1  | 2025-05-01 17:50:06,487 - coordinator.src.pocket_checker - INFO - Cache des poches mis à jour: 3 poches
coordinator-1  | 2025-05-01 17:50:06,487 - coordinator.src.pocket_checker - INFO - ✅ Réallocation des poches effectuée (valeur totale: 1000.12 USDC)
coordinator-1  | 2025-05-01 17:50:45,011 - werkzeug - INFO - 172.21.0.12 - - [01/May/2025 17:50:45] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-05-


trader-1  | 2025-05-01 17:42:53,124 - werkzeug - INFO - 172.21.0.12 - - [01/May/2025 17:42:53] "GET /health HTTP/1.1" 200 -
trader-1  | 2025-05-01 17:43:01,100 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: BTCUSDC @ 96636.02
trader-1  | 2025-05-01 17:43:01,104 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: ETHUSDC @ 1847.63
trader-1  | 2025-05-01 17:43:05,691 - werkzeug - INFO - 172.21.0.11 - - [01/May/2025 17:43:05] "GET /orders?status=active HTTP/1.1" 200 -
trader-1  | 2025-05-01 17:43:07,973 - werkzeug - INFO - 172.21.0.10 - - [01/May/2025 17:43:07] "GET /orders HTTP/1.1" 200 -
trader-1  | 2025-05-01 17:44:00,180 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: BTCUSDC @ 96610.0
trader-1  | 2025-05-01 17:44:00,181 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: ETHUSDC @ 1849.1
trader-1  | 2025-05-01 17:44:00,245 - werkzeug - INFO - 172.21.0.12 - - [01/May/2025 17:44:00] "GET /health HTTP/1.1" 200 -
trader-1  | 2025-05-01 17:44:00,304 - trader.src.order_manager - DEBUG - Signal brut reçu: {"strategy": "Bollinger_Strategy", "symbol": "ETHUSDC", "side": "BUY", "timestamp": "2025-05-01T17:44:00.296009", "price": 1849.1, "confidence": 0.5, "strength": "moderate", "metadata": {"bb_upper": 1864.3882065578468, "bb_middle": 1856.3250000000003, "bb_lower": 1848.2617934421537, "target_price": 1856.3250000000003, "stop_price": 1829.7791755077321}}
trader-1  | 2025-05-01 17:44:00,307 - trader.src.order_manager - INFO - 📨 Signal reçu: BUY ETHUSDC @ 1849.1 (Bollinger_Strategy)
trader-1  | 2025-05-01 17:44:00,308 - trader.src.binance_executor - DEBUG - Génération de signature pour: symbol=ETHUSDC&timestamp=1746121440308
trader-1  | 2025-05-01 17:44:00,310 - urllib3.connectionpool - DEBUG - Resetting dropped connection: api.binance.com
trader-1  | 2025-05-01 17:44:00,668 - urllib3.connectionpool - DEBUG - https://api.binance.com:443 "GET /sapi/v1/asset/tradeFee?symbol=ETHUSDC&timestamp=1746121440308&signature=3bca9da16c2f8686e82dfa0a53d6bce88ad882b06d0914ebb70ee3f78bfe62c3 HTTP/1.1" 200 76
trader-1  | 2025-05-01 17:44:00,670 - trader.src.cycle_manager - INFO - 🔄 Envoi de l'ordre d'entrée pour le cycle cycle_de73f5f0a9ec40be
trader-1  | 2025-05-01 17:44:00,670 - trader.src.binance_executor - DEBUG - Génération de signature pour: newClientOrderId=entry_cycle_de73f5f0a9ec40be&price=1849.10&quantity=0.0300&side=BUY&symbol=ETHUSDC&timeInForce=GTC&timestamp=1746121440670&type=LIMIT
trader-1  | 2025-05-01 17:44:00,670 - trader.src.binance_executor - INFO - 📦 Paramètres POST vers Binance: {'symbol': 'ETHUSDC', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.0300', 'newClientOrderId': 'entry_cycle_de73f5f0a9ec40be', 'timestamp': 1746121440670, 'price': '1849.10', 'timeInForce': 'GTC', 'signature': '79a918f21b2eaf3aa7acfad272e3741672d99e72901599252c76b9daaebbd37e'}
