"id","symbol","strategy","status","entry_order_id","exit_order_id","entry_price","exit_price","quantity","target_price","stop_price","trailing_delta","profit_loss","profit_loss_percent","created_at","updated_at","completed_at","pocket","metadata","demo"
"cycle_010b8aef48a540f9","BTCUSDC","Manual","active_sell","10000032",NULL,"96260.01000000",NULL,"0.00083108",NULL,NULL,NULL,NULL,NULL,"2025-05-01 10:31:00.426464","2025-05-01 10:31:00.803767",NULL,"active",NULL,False
"cycle_0aa5553a2f544f81","ETHUSDC","Manual","active_buy","10000023",NULL,"1804.63000000",NULL,"0.04433042",NULL,NULL,NULL,NULL,NULL,"2025-05-01 07:03:01.184261","2025-05-01 07:03:01.43335",NULL,"active",NULL,False
"cycle_15298d1da662461c","BTCUSDC","EMA_Cross_Strategy","completed","10000010","10000038","94500.01000000","96395.69000000","0.00100000","90720.00960000","96390.01020000",NULL,"-1.89568000","-2.00601037","2025-05-01 01:41:00.773854","2025-05-01 12:25:01.017266","2025-05-01 12:25:01.008808","active",NULL,False
"cycle_2893d0921c1545d2","ETHUSDC","Ride_or_React_Strategy","completed","10000002","10000035","1794.57000000","1856.42000000","0.03000000","1848.40710000","1758.67860000",NULL,"1.85550000","3.44650808","2025-04-30 23:44:01.476243","2025-05-01 11:01:01.684215","2025-05-01 11:01:01.678671","active",NULL,False
"cycle_305a9fc70748427a","BTCUSDC","Manual","active_sell","10000013",NULL,"94848.02000000",NULL,"0.00084345",NULL,NULL,NULL,NULL,NULL,"2025-05-01 02:44:00.476831","2025-05-01 02:44:00.858421",NULL,"active",NULL,False
"cycle_4378c1f84e4f49a9","ETHUSDC","Manual","active_sell","10000014",NULL,"1812.88000000",NULL,"0.04412868",NULL,NULL,NULL,NULL,NULL,"2025-05-01 02:44:00.903276","2025-05-01 02:44:01.15628",NULL,"active",NULL,False
"cycle_51af0159e54a482f","BTCUSDC","Manual","active_buy","10000034",NULL,"96078.00000000",NULL,"0.00083266",NULL,NULL,NULL,NULL,NULL,"2025-05-01 10:51:00.562966","2025-05-01 10:51:00.969117",NULL,"active",NULL,False
"cycle_51f720b15fdc45de","ETHUSDC","Manual","active_sell","10000015",NULL,"1812.64000000",NULL,"0.04413452",NULL,NULL,NULL,NULL,NULL,"2025-05-01 03:33:00.872194","2025-05-01 03:33:01.268485",NULL,"active",NULL,False
"cycle_5587818c64344394","BTCUSDC","Manual","active_sell","10000019",NULL,"95129.99000000",NULL,"0.00084095",NULL,NULL,NULL,NULL,NULL,"2025-05-01 05:48:01.533649","2025-05-01 05:48:01.78794",NULL,"active",NULL,False
"cycle_56d204d360ff4f9a","ETHUSDC","Manual","active_sell","10000020",NULL,"1813.91000000",NULL,"0.04410362",NULL,NULL,NULL,NULL,NULL,"2025-05-01 05:48:01.832924","2025-05-01 05:48:02.090106",NULL,"active",NULL,False
